"country","noc","cov","diff","diffpc"
"AFG","344,932 (95%[293,900, 406,596])","335,542 (95%[285,313, 395,325])","9,390 (95%[7,437, 11,751])","3 (95%[2, 3])"
"AGO","692,426 (95%[586,463, 792,792])","653,163 (95%[554,058, 747,358])","39,264 (95%[32,727, 45,434])","6 (95%[6, 6])"
"ALB","4,008 (95%[3,471, 4,757])","3,965 (95%[3,429, 4,706])","43 (95%[32, 51])","1 (95%[1, 1])"
"ARM","4,322 (95%[3,662, 5,047])","4,268 (95%[3,599, 4,988])","54 (95%[39, 70])","1 (95%[1, 2])"
"AZE","21,991 (95%[17,618, 26,164])","21,612 (95%[17,298, 25,758])","378 (95%[312, 440])","2 (95%[2, 2])"
"BDI","290,919 (95%[252,776, 335,393])","288,632 (95%[250,886, 333,020])","2,287 (95%[1,776, 3,554])","1 (95%[1, 1])"
"BEN","274,061 (95%[235,879, 325,455])","273,240 (95%[235,344, 324,553])","821 (95%[460, 1,652])","0 (95%[0, 1])"
"BFA","446,174 (95%[393,454, 492,504])","443,817 (95%[391,537, 489,367])","2,357 (95%[937, 4,491])","1 (95%[0, 1])"
"BGD","556,559 (95%[461,320, 667,645])","556,039 (95%[460,362, 669,122])","520 (95%[-3,230, 1,474])","0 (95%[-1, 0])"
"BIH","2,863 (95%[2,508, 3,242])","2,819 (95%[2,468, 3,192])","43 (95%[33, 54])","2 (95%[1, 2])"
"BLR","10,492 (95%[9,061, 11,869])","10,472 (95%[9,042, 11,849])","20 (95%[18, 22])","0 (95%[0, 0])"
"BLZ","921 (95%[732, 1,134])","789 (95%[627, 946])","132 (95%[92, 185])","17 (95%[14, 20])"
"BOL","50,514 (95%[42,677, 59,734])","46,783 (95%[39,139, 55,462])","3,731 (95%[3,248, 4,274])","8 (95%[7, 9])"
"BRA","0 (95%[0, 0])","NaN (95%[NA, NA])","NaN (95%[NA, NA])","NaN (95%[NA, NA])"
"BTN","2,217 (95%[1,705, 2,714])","2,200 (95%[1,690, 2,693])","17 (95%[15, 21])","1 (95%[1, 1])"
"CAF","110,699 (95%[93,307, 129,709])","108,823 (95%[91,763, 127,509])","1,876 (95%[1,267, 2,736])","2 (95%[1, 2])"
"CHN","2,659,118 (95%[2,241,551, 3,126,575])","2,648,452 (95%[2,232,825, 3,113,948])","10,666 (95%[8,554, 12,903])","0 (95%[0, 0])"
"CIV","533,163 (95%[441,179, 629,807])","516,765 (95%[429,027, 610,132])","16,398 (95%[12,339, 21,410])","3 (95%[3, 4])"
"CMR","553,310 (95%[469,675, 647,992])","543,644 (95%[462,294, 632,356])","9,666 (95%[5,209, 15,085])","2 (95%[1, 2])"
"COD","3,315,344 (95%[2,496,865, 4,253,500])","3,293,803 (95%[2,476,901, 4,228,602])","21,541 (95%[12,680, 31,334])","1 (95%[0, 1])"
"COG","79,743 (95%[62,494, 108,344])","74,685 (95%[59,516, 98,046])","5,058 (95%[1,935, 10,466])","7 (95%[3, 11])"
"COL","82,206 (95%[69,217, 98,188])","78,560 (95%[65,456, 94,636])","3,646 (95%[3,346, 3,942])","5 (95%[4, 6])"
"COM","13,146 (95%[11,131, 15,263])","13,112 (95%[11,101, 15,228])","34 (95%[29, 39])","0 (95%[0, 0])"
"CPV","3,809 (95%[3,275, 4,472])","3,778 (95%[3,249, 4,437])","31 (95%[23, 36])","1 (95%[1, 1])"
"CUB","11,424 (95%[9,855, 12,869])","11,392 (95%[9,825, 12,833])","32 (95%[28, 36])","0 (95%[0, 0])"
"DJI","10,412 (95%[8,816, 11,926])","9,715 (95%[8,237, 11,185])","696 (95%[584, 795])","7 (95%[7, 8])"
"DOM","0 (95%[0, 0])","NaN (95%[NA, NA])","NaN (95%[NA, NA])","NaN (95%[NA, NA])"
"DZA","192,172 (95%[168,400, 215,970])","191,228 (95%[167,921, 214,617])","944 (95%[433, 1,352])","0 (95%[0, 1])"
"ECU","40,535 (95%[35,523, 47,041])","35,165 (95%[30,594, 41,090])","5,370 (95%[4,877, 5,923])","15 (95%[14, 17])"
"EGY","394,483 (95%[338,366, 463,320])","394,141 (95%[338,036, 462,927])","342 (95%[304, 388])","0 (95%[0, 0])"
"ERI","36,485 (95%[30,650, 41,749])","36,452 (95%[30,622, 41,714])","33 (95%[23, 43])","0 (95%[0, 0])"
"ETH","2,341,610 (95%[2,146,179, 2,594,484])","2,267,655 (95%[2,077,494, 2,507,250])","73,955 (95%[65,798, 84,072])","3 (95%[3, 4])"
"FJI","5,025 (95%[4,081, 6,399])","5,025 (95%[4,081, 6,399])","0 (95%[-1, 0])","0 (95%[0, 0])"
"FSM","545 (95%[427, 668])","502 (95%[390, 618])","43 (95%[35, 51])","9 (95%[8, 10])"
"GEO","7,004 (95%[5,872, 8,289])","6,892 (95%[5,774, 8,159])","113 (95%[94, 135])","2 (95%[1, 2])"
"GHA","539,675 (95%[462,462, 618,954])","537,675 (95%[460,690, 616,844])","2,000 (95%[1,592, 2,314])","0 (95%[0, 0])"
"GIN","230,579 (95%[189,345, 273,163])","229,644 (95%[188,446, 272,037])","935 (95%[611, 1,358])","0 (95%[0, 1])"
"GMB","52,838 (95%[45,847, 61,233])","51,605 (95%[44,876, 59,882])","1,234 (95%[1,006, 1,510])","2 (95%[2, 3])"
"GNB","40,549 (95%[32,664, 50,291])","39,183 (95%[31,527, 48,958])","1,366 (95%[1,134, 1,640])","4 (95%[3, 4])"
"GTM","60,674 (95%[54,882, 67,439])","59,333 (95%[53,691, 65,973])","1,341 (95%[1,108, 1,553])","2 (95%[2, 3])"
"GUY","2,733 (95%[2,301, 3,148])","2,709 (95%[2,287, 3,121])","24 (95%[12, 35])","1 (95%[0, 1])"
"HND","29,404 (95%[25,483, 33,789])","27,622 (95%[24,182, 31,429])","1,783 (95%[1,293, 2,529])","6 (95%[5, 9])"
"HTI","84,158 (95%[67,099, 99,955])","82,908 (95%[66,260, 98,423])","1,250 (95%[601, 1,916])","1 (95%[1, 2])"
"IDN","985,230 (95%[810,954, 1,202,188])","830,923 (95%[687,310, 1,016,793])","154,307 (95%[118,927, 192,128])","19 (95%[15, 22])"
"IND","4,675,244 (95%[3,881,450, 5,689,617])","4,534,526 (95%[3,779,912, 5,507,836])","140,717 (95%[103,850, 180,657])","3 (95%[3, 4])"
"IRN","150,223 (95%[128,536, 179,212])","149,936 (95%[128,287, 178,872])","286 (95%[256, 326])","0 (95%[0, 0])"
"IRQ","141,854 (95%[125,127, 163,606])","140,132 (95%[124,709, 159,149])","1,722 (95%[-637, 4,403])","1 (95%[0, 3])"
"JAM","3,640 (95%[3,127, 4,090])","3,444 (95%[2,941, 3,894])","196 (95%[173, 220])","6 (95%[5, 7])"
"JOR","24,272 (95%[20,959, 27,225])","23,108 (95%[19,902, 25,969])","1,164 (95%[1,002, 1,314])","5 (95%[5, 6])"
"KAZ","0 (95%[0, 0])","NaN (95%[NA, NA])","NaN (95%[NA, NA])","NaN (95%[NA, NA])"
"KEN","485,987 (95%[437,157, 536,415])","485,701 (95%[436,883, 536,199])","286 (95%[-2, 436])","0 (95%[0, 0])"
"KGZ","31,892 (95%[27,952, 36,600])","31,293 (95%[27,471, 35,942])","599 (95%[439, 794])","2 (95%[1, 3])"
"KHM","85,453 (95%[70,604, 104,115])","84,307 (95%[69,701, 102,112])","1,146 (95%[855, 1,554])","1 (95%[1, 2])"
"KIR","1,395 (95%[1,165, 1,719])","1,368 (95%[1,142, 1,689])","27 (95%[23, 31])","2 (95%[2, 2])"
"LAO","44,988 (95%[37,957, 52,522])","44,393 (95%[37,438, 51,842])","595 (95%[429, 969])","1 (95%[1, 2])"
"LBR","104,411 (95%[88,348, 123,573])","100,874 (95%[85,381, 119,582])","3,537 (95%[2,864, 4,476])","4 (95%[3, 4])"
"LKA","51,709 (95%[44,498, 60,250])","50,297 (95%[43,159, 58,694])","1,412 (95%[1,281, 1,547])","3 (95%[2, 3])"
"LSO","27,324 (95%[23,905, 30,761])","27,275 (95%[23,860, 30,715])","48 (95%[37, 63])","0 (95%[0, 0])"
"MAR","127,781 (95%[117,144, 139,247])","127,579 (95%[116,954, 139,055])","202 (95%[179, 230])","0 (95%[0, 0])"
"MDA","7,162 (95%[5,838, 8,768])","6,986 (95%[5,687, 8,552])","176 (95%[142, 215])","3 (95%[2, 3])"
"MDG","347,143 (95%[297,059, 404,511])","324,754 (95%[278,354, 378,327])","22,389 (95%[18,769, 26,184])","7 (95%[6, 8])"
"MHL","160 (95%[108, 223])","159 (95%[107, 222])","1 (95%[1, 1])","1 (95%[0, 1])"
